Easting,Northing,Elevation,Code,source,Point_ID
642253.645,4242058.927,5.8,BANKSLOPE,Nichols 2015,764_763_stk24
642253.464,4242059.042,5.679,BANKSLOPE,Nichols 2015,764_763_stk25
642253.241,4242059.090,5.51,BANKTOE,Nichols 2015,764_763_stk26
642252.933,4242059.205,5.491,BANKBED,Nichols 2015,764_763_stk27
642252.562,4242059.348,5.454,BANKBED,Nichols 2015,764_763_stk28
642252.160,4242059.478,5.459,BANKBED,Nichols 2015,764_763_stk29
642251.892,4242059.613,5.469,BANKBED,Nichols 2015,764_763_stk30
642251.560,4242059.695,5.479,BANKBED,Nichols 2015,764_763_stk31
642251.045,4242059.895,5.457,BANKBED,Nichols 2015,764_763_stk32
642250.280,4242060.122,5.448,BANKBED,Nichols 2015,764_763_stk33
642249.756,4242060.311,5.398,BANKBED,Nichols 2015,764_763_stk34
642249.345,4242060.498,5.371,BANKBED,Nichols 2015,764_763_stk35
642248.870,4242060.678,5.341,BANKBED,Nichols 2015,764_763_stk36
642248.276,4242060.870,5.29,BANKBED,Nichols 2015,764_763_stk37
642247.715,4242061.090,5.229,BANKBED,Nichols 2015,764_763_stk38
642247.299,4242061.213,5.15,BANKBED,Nichols 2015,764_763_stk39
642246.842,4242061.368,5.115,BANKBED,Nichols 2015,764_763_stk40
642246.395,4242061.556,5.073,BANKBED,Nichols 2015,764_763_stk41
642245.967,4242061.706,5.032,BANKBED,Nichols 2015,764_763_stk42
642245.318,4242061.951,5.004,BANKBED,Nichols 2015,764_763_stk43
642244.769,4242062.081,4.965,BANKBED,Nichols 2015,764_763_stk44
642244.246,4242062.275,4.944,BANKBED,Nichols 2015,764_763_stk45
642243.657,4242062.490,4.921,BANKBED,Nichols 2015,764_763_stk46
642243.244,4242062.669,4.924,BANKBED,Nichols 2015,764_763_stk47
642242.516,4242062.948,4.87,BANKBED,Nichols 2015,764_763_stk48
642241.706,4242063.197,4.837,BANKBED,Nichols 2015,764_763_stk49
642241.111,4242063.408,4.87,BANKBED,Nichols 2015,764_763_stk50
642240.504,4242063.589,4.877,BANKBED,Nichols 2015,764_763_stk51
642240.037,4242063.774,4.899,BANKBED,Nichols 2015,764_763_stk52
642239.586,4242063.942,4.879,BANKBED,Nichols 2015,764_763_stk53
642239.013,4242064.135,4.888,BANKBED,Nichols 2015,764_763_stk54
642238.382,4242064.410,4.871,BANKBED,Nichols 2015,764_763_stk55
642237.853,4242064.546,4.826,BANKBED,Nichols 2015,764_763_stk56
642237.512,4242064.663,4.786,BANKBED,Nichols 2015,764_763_stk57
642237.008,4242064.836,4.784,BANKBED,Nichols 2015,764_763_stk58
642236.619,4242064.992,4.995,BANKBED,Nichols 2015,764_763_stk59
642236.142,4242065.148,5.19,BANKBED,Nichols 2015,764_763_stk60
642235.689,4242065.350,5.379,BANKBED,Nichols 2015,764_763_stk61
642235.103,4242065.568,5.775,BANKBED,Nichols 2015,764_763_stk62
642234.809,4242065.702,5.831,BANKBED,Nichols 2015,764_763_stk63
