FID,Id,ORIG_FID,POINT_X,POINT_Y
369,0,0,-121.379162,38.30629808
370,0,0,-121.3792941,38.30620171
371,0,0,-121.3794047,38.30612319
372,0,0,-121.3794975,38.30605894
373,0,0,-121.3796153,38.30596971
374,0,0,-121.3797152,38.30584122
375,0,0,-121.3801614,38.30578411
376,0,0,-121.3802792,38.30575913
377,0,0,-121.3803535,38.30569667
378,0,0,-121.3803595,38.30565503
379,0,0,-121.3803387,38.30561933
380,0,0,-121.3803743,38.30551523
381,0,0,-121.3805379,38.30515831
382,0,0,-121.3806153,38.30514047
383,0,0,-121.3805915,38.30509585
384,0,0,-121.3806182,38.30496796
385,0,0,-121.3806718,38.30495011
386,0,0,-121.3806896,38.30482519
387,0,0,-121.3807164,38.30473001
388,0,0,-121.3807878,38.30461401
389,0,0,-121.3808949,38.3044415
390,0,0,-121.3809662,38.30428089
391,0,0,-121.3810347,38.30418571
392,0,0,-121.3810525,38.30410243
393,0,0,-121.3811447,38.30392992
394,0,0,-121.3812577,38.30370684
395,0,0,-121.3813529,38.30344808
396,0,0,-121.381463,38.30327557
397,0,0,-121.3815641,38.30311793
398,0,0,-121.3815849,38.30307926
399,0,0,-121.3815641,38.30304952
400,0,0,-121.3816236,38.30301085
401,0,0,-121.3816563,38.30297813
402,0,0,-121.3816831,38.30299598
403,0,0,-121.3817039,38.30295731
404,0,0,-121.3816741,38.30292162
405,0,0,-121.381805,38.30274911
406,0,0,-121.3818675,38.30274019
407,0,0,-121.3819418,38.30267178
408,0,0,-121.3819894,38.30265393
409,0,0,-121.3819805,38.30259147
410,0,0,-121.3820727,38.30249927
411,0,0,-121.3821352,38.30251116
412,0,0,-121.382153,38.3024725
413,0,0,-121.3821143,38.30245763
414,0,0,-121.382263,38.30229999
415,0,0,-121.3823344,38.30221373
416,0,0,-121.3824594,38.30213342
417,0,0,-121.3824445,38.30209476
418,0,0,-121.382504,38.30197876
419,0,0,-121.3825516,38.30196984
420,0,0,-121.3825397,38.30191927
421,0,0,-121.3826348,38.30175271
422,0,0,-121.3826854,38.3016843
423,0,0,-121.3828073,38.30162184
424,0,0,-121.3828639,38.30167538
425,0,0,-121.3829055,38.30166943
426,0,0,-121.382962,38.30156235
427,0,0,-121.3830661,38.30121138
428,0,0,-121.3831464,38.30098533
